"","Method","GroupBasedOn","Group","Abundant.HeS","Abundant.HoS","Abundant.DL","Abundant.HD","Abundant.DR","Abundant.Stochasticity","None.HeS","None.HoS","None.DL","None.HD","None.DR","None.Stochasticity","Rare.HeS","Rare.HoS","Rare.DL","Rare.HD","Rare.DR","Rare.Stochasticity"
"1","bNTIiRCbraya","Site","Fish Den",0.0602962112423383,0.121514302872411,0.368595326419838,0.0172228311493585,0.432371328316054,0.81818948588525,0.0511852038028043,0.0499003874320961,0.534793091786393,0.00805936473644872,0.356061952242258,0.8989144087651,0.0263271160849916,0.0140847905810032,0.348615792585417,0.0029436943207244,0.608028606427864,0.959588093334005
"2","bNTIiRCbraya","Site","Leo's Den",0.109798420238827,0.0998544323665385,0.188679473385003,0.00864720741412755,0.593020466595503,0.790347147394634,0.0679183829800609,0.0793566801358944,0.335159412081019,0.00681882804753117,0.510746696755495,0.852724936884045,0,0,0.209786558724097,0,0.790213441275903,1
"3","bNTIiRCbraya","Site","B-S Deep",0.0816574951612052,0.0862698611270335,0.214179354370955,0.00874671932875196,0.609146570012054,0.832072643711761,0.05745381343174,0.0622640975223967,0.368095115312201,0.00386513311904293,0.508321840614619,0.880282089045863,0,0.0111674943736044,0.316515523309833,0.00212127847241999,0.670195703844143,0.988832505626396
"4","bNTIiRCbraya","Site","White Hole",0.0821089827353248,0.0890256651228462,0.296565798163956,0.011226661995235,0.521072891982638,0.828865352141829,0.0461395356876697,0.0657695571677049,0.389389450494059,0.00636361620574975,0.492337840444816,0.888090907144625,0.00294502785837163,0.0126561918103862,0.321946408097329,0,0.662452372233913,0.984398780331242
"5","bNTIiRCbraya","Site","Wicked Pissa",0.069252122350632,0.109745205825104,0.11211308711608,0.00943409583776511,0.699455488870419,0.821002671824264,0.127075111462346,0.0827707727760249,0.219131727609385,0.00846170117676341,0.56256068697548,0.790154115761629,0.0314655278518205,0.0483195581525373,0.104987702978847,0,0.815227211016795,0.920214913995642
"6","bNTIiRCbraya","Site","Phlipper's Peace",0.0908473192728135,0.113156087867293,0.0893046067953453,0.0294250777838955,0.677266908280653,0.795996592859893,0.0433891829095412,0.106402961233362,0.140242147980612,0.00762492529969769,0.702340782576787,0.850207855857097,0,0.00441508767785011,0.168974587223952,0,0.826610325098198,0.99558491232215
"7","bNTIiRCbraya","Site","Thalassa Arg",0.0913618758393823,0.0824149729191342,0.261720299876921,0.00753150442683868,0.556971346937724,0.826223151241483,0.0466914902020901,0.088600887247955,0.369434196300668,0.00543722059039826,0.489836205658889,0.864707622549955,0,0.0409841233347039,0.269164028563537,0.00275738691387047,0.687094461187888,0.959015876665296
"8","bNTIiRCbraya","Site","International Diver",0.108606512539828,0.0805138201258181,0.288912007012606,0.00523782235259457,0.516729837969153,0.810879667334354,0.0764587155571114,0.0894637223314184,0.343762117066084,0.0106056445837314,0.479709800461655,0.83407756211147,0.0312929812981821,0.00648962685818994,0.349724331954124,0.0019988603905136,0.61049419949899,0.962217391843628
"9","bNTIiRCbraya","Site","Pillar Coral",0.0813011096913904,0.102054721500265,0.260361489498551,0.00733218242336856,0.548950496886425,0.816644168808344,0.0445456047872316,0.0690591798986638,0.291042949537323,0.00729222546439575,0.588060040312386,0.886395215314105,0,0.00359186324454008,0.144710335307799,0,0.851697801447661,0.99640813675546
"10","bNTIiRCbraya","Site","Overheat",0.0891714101267683,0.114132745094023,0.227632457268235,0.0159794253598086,0.553083962151165,0.796695844779208,0.0769788288971526,0.0913834442336171,0.27490233949528,0.00667223909042725,0.550063148283523,0.83163772686923,0.00187283411520136,0.0234159705432711,0.159026364590126,0.00237143113837693,0.813313399613024,0.974711195341528
"11","bNTIiRCbraya","Site","Angus' Aquarium",0.0864896725882247,0.088596865927213,0.160357234372872,0.00503037650017302,0.659525850611517,0.824913461484562,0.0442175854708516,0.0899763269039583,0.214754216955293,0.00862094236433933,0.642430928305558,0.86580608762519,0,0,0.196577292959442,0.0171741987291569,0.786248508311401,1
"12","bNTIiRCbraya","Substrate","CCA",0.0861094838542278,0.102501844264273,0.180203841940519,0.0166717737879799,0.614513056153001,0.811388671881499,0.0704013714980862,0.0852724250296855,0.317710101619538,0.00991342385178677,0.516702678000903,0.844326203472228,0.00621430163849197,0.0136321423610261,0.258854472515665,0.0046433474233989,0.716655736061418,0.980153556000482
"13","bNTIiRCbraya","Substrate","Carbonate",0.0746899670025155,0.106495934281336,0.236795572273187,0.00774739353306037,0.574271132909901,0.818814098716148,0.0562327686085583,0.0762307833645974,0.304267359935705,0.00590629404924092,0.557362794041899,0.867536448026844,0.0121500286309752,0.0133059208394082,0.231651061784462,0.00147980766434931,0.741413181080805,0.974544050529617
