"Group","Process","Observed","Mean","Stdev","Min","Quartile25","Median","Quartile75","Max","Lower.whisker","Lower.hinge","Median","Upper.hinge","Upper.whisker","Outlier1","Outlier2","Outlier3","Outlier4","Outlier5","Outlier6","Outlier7","Outlier8","Outlier9","Outlier10","Outlier11","Outlier12","Outlier13","Outlier14","Outlier15","Outlier16"
"CCA","Heterogeneous.Selection","0.08505447","0.08518228","0.006556699","0.067000943","0.08067472","0.08525334","0.08934791","0.10771056","0.068085761","0.08067472","0.08525334","0.08934791","0.1010200","0.10771056","0.10572246","0.10703830","0.10338590","0.10243298","0.10396968","0.06711672","0.10578650","0.06700094","0.10446187",NA,NA,NA,NA,NA,NA
"CCA","Homogeneous.Selection","0.10049958","0.10080243","0.006870072","0.078725336","0.09601681","0.10076415","0.10540050","0.12658054","0.082910757","0.09601681","0.10076415","0.10540050","0.1184231","0.12066703","0.12004123","0.12087025","0.07872534","0.11971564","0.12658054","0.12024718","0.08009981",NA,NA,NA,NA,NA,NA,NA,NA
"CCA","Dispersal.Limitation","0.19398885","0.19476325","0.022876165","0.130220224","0.17862690","0.19408355","0.20950434","0.26821513","0.133229650","0.17862690","0.19408355","0.20950434","0.2535471","0.26502851","0.13053188","0.13022022","0.26621023","0.26821513","0.25767163","0.25821105",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCA","Homogenizing.Dispersal","0.01592764","0.01574006","0.003190895","0.007563894","0.01354172","0.01548605","0.01771396","0.02688102","0.007563894","0.01354172","0.01548605","0.01771396","0.0238758","0.02522444","0.02688102","0.02447946","0.02453403","0.02556128","0.02439568","0.02426958","0.02559661","0.02399436","0.02469425","0.02466222","0.02525144","0.02523712","0.02457889","0.0248019","0.02577769"
"CCA","Drift.and.Others","0.60452945","0.60351198","0.017864468","0.548726977","0.59126062","0.60305046","0.61620789","0.65324115","0.554198873","0.59126062","0.60305046","0.61620789","0.6532411","0.54872698","0.55162054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCA","Stochasticity","0.81444594","0.81401529","0.011586046","0.778036569","0.80646461","0.81389497","0.82191985","0.84499095","0.783327779","0.80646461","0.81389497","0.82191985","0.8449909","0.77946217","0.77930646","0.77815208","0.77906345","0.77803657",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carbonate","Heterogeneous.Selection","0.072833580","0.072820123","0.005932144","0.056349396","0.068818944","0.072881325","0.076484667","0.09911292","0.057692637","0.068818944","0.072881325","0.076484667","0.08790810","0.09064029","0.08805637","0.08835413","0.05720598","0.09911292","0.09242835","0.09412765","0.0563494","0.09052344","0.05657642","0.05643095","0.09166744","0.08833981","0.08908658","0.09002875",NA
"Carbonate","Homogeneous.Selection","0.102361596","0.102493952","0.009148092","0.073558299","0.096209434","0.102426877","0.108247431","0.13615201","0.079488377","0.096209434","0.102426877","0.108247431","0.12626031","0.12781605","0.13590391","0.13104670","0.07729606","0.07355830","0.12841762","0.07723292","0.1361520","0.13175165","0.07743908","0.12644944",NA,NA,NA,NA,NA
"Carbonate","Dispersal.Limitation","0.246727739","0.246172318","0.042033526","0.131246507","0.217156689","0.241985234","0.273259150","0.37901293","0.135642302","0.217156689","0.241985234","0.273259150","0.34890317","0.36062811","0.35838977","0.13124651","0.36952349","0.37901293","0.37003620","0.37171956","0.3617287",NA,NA,NA,NA,NA,NA,NA,NA
"Carbonate","Homogenizing.Dispersal","0.007497554","0.007573362","0.002032202","0.002553282","0.006137012","0.007423567","0.008932492","0.01464479","0.002553282","0.006137012","0.007423567","0.008932492","0.01309325","0.01412526","0.01342717","0.01392525","0.01340421","0.01330188","0.01464479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carbonate","Drift.and.Others","0.570579532","0.570940244","0.032805401","0.470001146","0.550310559","0.572947410","0.593845314","0.65910989","0.485605699","0.550310559","0.572947410","0.593845314","0.65910989","0.47982476","0.47743671","0.47000115","0.48015729","0.47639042","0.48022796",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carbonate","Stochasticity","0.824804824","0.824685924","0.011416683","0.785228857","0.817139887","0.824435120","0.832033732","0.85684907","0.794814591","0.817139887","0.824435120","0.832033732","0.85434204","0.79218577","0.85651512","0.78522886","0.85467539","0.85486067","0.79386002","0.79392143","0.8556929","0.85547300","0.79060372","0.85524966","0.85684907","0.79319909","0.85533830","0.79332857",NA
"CCA_vs_Carbonate","Heterogeneous.Selection","0.082218797","0.08218469","0.004452807","0.062141221","0.079177678","0.082312283","0.085191049","0.09518174","0.070719747","0.079177678","0.082312283","0.085191049","0.09394235","0.09518174","0.06951945","0.0699887","0.06983942","0.06214122","0.068900982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCA_vs_Carbonate","Homogeneous.Selection","0.091549814","0.09168547","0.005295614","0.074671479","0.088186864","0.091568143","0.095220111","0.11087104","0.077976652","0.088186864","0.091568143","0.095220111","0.10561596","0.10646476","0.10586399","0.1108710","0.07467148","0.10666881","0.108361317","0.07666174",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCA_vs_Carbonate","Dispersal.Limitation","0.256587335","0.25589360","0.026243576","0.183644081","0.238578995","0.254712738","0.272343662","0.35434808","0.188915172","0.238578995","0.254712738","0.272343662","0.32215359","0.35241910","0.32351748","0.3380578","0.32386003","0.34102342","0.323517057","0.18364408","0.3319842","0.3543481","0.3243212",NA,NA,NA,NA,NA,NA
"CCA_vs_Carbonate","Homogenizing.Dispersal","0.007848339","0.00794637","0.001494853","0.002902536","0.006956571","0.007848116","0.008904925","0.01394180","0.004173664","0.006956571","0.007848116","0.008904925","0.01179362","0.01351925","0.01198891","0.0123370","0.01227428","0.01394180","0.002902536","0.01195443",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCA_vs_Carbonate","Drift.and.Others","0.561795714","0.56228988","0.021786487","0.486227337","0.548364612","0.562848193","0.576441877","0.63238216","0.507730541","0.548364612","0.562848193","0.576441877","0.61754115","0.61903180","0.49607895","0.4879254","0.49861097","0.49955806","0.503642505","0.50407134","0.6323822","0.4991680","0.4862273",NA,NA,NA,NA,NA,NA
"CCA_vs_Carbonate","Stochasticity","0.826231389","0.82612984","0.007964629","0.799264085","0.820658609","0.826333871","0.831297065","0.85552316","0.805962096","0.820658609","0.826333871","0.831297065","0.84670224","0.80351140","0.80438722","0.8044381","0.80343560","0.80224617","0.799264085","0.85533982","0.8483309","0.8555232","0.8497933",NA,NA,NA,NA,NA,NA
